RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022
91684,2230,77035,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1483.803718,1432.293188,1448.953437,1429.836928,1543.454084,1558.165562,1604.283378,1590.777303,1582.051309,1572.91696,1615.729034,1633.366209,1697.67094
99317,2231,97477,zip,OR,OR,Springfield,"Eugene-Springfield, OR",Lane County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588.097198,1593.457481,1595.439181,1555.633653,1546.736941,1548.068836,1538.5
93287,2232,80210,zip,CO,CO,Denver,"Denver-Aurora-Lakewood, CO",Denver County,1477.768155,1487.725,1501.136983,1518.644828,1544.572149,1527.184102,1523.48964,1519.147954,1548.046093,1523.905625,1544.332073,1545.907952,1596.03264,1593.693814,1598.248482,1604.671538,1619.298108,1631.911478,1630.355932,1600.027793,1584.350964,1582.190461,1614.399742,1640.542563,1660.426624,1664.826235,1668.836519,1680.680981,1689.019862,1689.620018,1679.134598,1654.372571,1643.739008,1643.750643,1665.433697,1681.082148,1703.487403,1709.841152,1710.916399,1723.34629,1735.185337,1745.26194,1720.470308,1704.553253,1693.89811,1719.082275,1747.1793,1778.249026,1778.771608,1776.428496,1778.478863,1786.455912,1804.090152,1805.501005,1803.369435,1777.055982,1760.967298,1769.687008,1802.711586,1832.711986,1839.118191,1828.375806,1814.822939,1824.882726,1826.182595,1833.217133,1818.332221,1812.29448,1792.340111,1784.638763,1788.431791,1817.662051,1831.348002,1853.966516,1882.033962,1922.050613,1967.474747,2000.160253,2028.795923,2045.720846,2055.716169,2053.61841,2055.072614,2072.481536,2102.315862,2115.468591,2122.550874,2123.470736,2133.625626,2138.366293,2152.75148,2160.269051,2156.52151,2158.750909
96292,2233,91104,zip,CA,CA,Pasadena,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,,,,,,,,,,,,,,,,,,,,1573.179187,1568.721129,1634.29568,1651.875495,1649.57336,1590.6309,1601.67554,1652.025999,1647.714823,1636.403528,1617.69555,1662.896159,1681.580303,1676.057479,1664.446822,1680.508021,1694.839028,1702.541915,1706.592096,1737.777838,1740.481329,1738.051871,1716.804863,1725.994438,1739.058904,1791.535808,1775.32832,1775.326481,1757.069255,1782.71612,1786.87051,1792.323881,1816.960658,1826.398605,1824.017363,1814.672355,1814.352965,1837.051766,1845.118364,1871.035669,1863.824556,1859.807588,1854.110933,1875.575116,1881.864523,1879.275428,1862.266224,1863.051211,1911.280423,1938.829697,1960.716345,1924.581735,1945.640231,1950.786536,1966.25977,1958.775041,2010.744988,2020.017242,2038.714644,2019.726418,1931.126616,1953.239461,2096.048909,,2279.59692,2179.916576,2194.787142,2263.745886,2311.223443,2308.962012,2390.200509,2405.88217,2403.732066,2365.523779,2389.940476
78143,2234,46410,zip,IN,IN,Merrillville,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1328.271379,1340.769249,1321.096568,1324.914198,1326.123448,1345.375404,1349.151474,1336.932299,1320.08245,1311.165325,1352.319833,1376.131272,1377.274579,1337.222222
60793,2235,7753,zip,NJ,NJ,Neptune Township,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2496.623995,2450.21095,2413.102823,2449.346711,2533.095657,2675.830541,2734.342005,2781.513518,2814.038089,2732.253434,2709.921607,2686.079209,2699.777778
77924,2236,46038,zip,IN,IN,Fishers,"Indianapolis-Carmel-Anderson, IN",Hamilton County,,,,,,,,,,,,1145.299734,1145.657809,1151.682354,1161.941688,1167.406248,1173.358545,1168.636793,1166.265843,1158.880116,1166.569297,1146.393908,1144.889709,1144.099253,1169.472406,1185.453073,1181.225681,1195.521962,1193.097583,1200.940102,1192.460804,1192.45884,1173.414167,1179.250205,1175.54888,1195.172182,1195.775485,1222.336042,1225.340496,1230.449612,1226.590133,1248.249419,1235.437596,1221.457355,1207.481171,1226.744803,1224.896847,1229.046577,1232.856543,1255.566624,1259.855483,1264.30032,1276.5217,1280.507151,1293.330925,1286.960467,1279.535535,1248.488622,1241.34097,1256.179882,1300.290321,,1258.428751,1279.713672,,1422.70758,1440.212357,1442.042732,1435.943223,1412.790187,1427.263096,1434.741378,1459.589005,1456.722724,1474.804312,1505.985578,1535.155235,1555.069838,1562.915103,1570.045388,1596.770305,1583.543088,1588.081083,1579.876178,1611.398759,1630.975905,1637.932072,1665.432356,1679.478268,1732.643626,1755.955433,1780.053154,1736.924242,1723.127778
77034,2237,44134,zip,OH,OH,Parma,"Cleveland-Elyria, OH",Cuyahoga County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.0148096,910.732394,898.7693989,917.9934196,928.9001874,933.2959857,932.1502631,907.3336374,899.3194223,896.1988003,900.1868382,892.3659826,883.9164927,880.3300692,898.1845119,922.1759589,957.2826124,972.3929959,993.8175255,1013.875712,1007.056607,978.2024042,966.9848,984.8527123,996.208104,1014.040358,1019.85515,1046.511577,1055.835461,1065.403019,1081.113951,1090.912735,1115.736713,1126.382707,1112.676036,1073.541331,1044.387606,1056.335994,1079.228722,1113.383559,1143.567536,1182.959454,1177.799281,1160.84309,1145.311689,1175.424545,1187.105558,1179.444444
90786,2238,75234,zip,TX,TX,Farmers Branch,"Dallas-Fort Worth-Arlington, TX",Dallas County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202.436621,1207.012723,1221.009281,1214.057952,1219.001086,1211.621832,1262.051464,1292.278822,,1278.559303,,1261.684056,,1276.069815,1277.202958,1270.693498,1273.183376,1279.477386,1289.096924,1293.224419,1279.103128,1266.00891,1248.789744,1267.392186,1262.818795,1257.813229,1237.283789,1245.289238,1259.354874,1272.462988,1263.428761,1250.075905,1252.195739,1262.204229,1274.62128,1269.048204,1285.030106,1295.821289,1327.45436,1349.842716,1414.402398,1463.274961,1507.13951,1491.224432,1487.436784,1502.713168,1530.857389,1558.111433,1564.81546,1598.089705,1607.220877,1629.979564,1635.527577,1652.80628,1655.074779,1656.609885,1657.148148
90800,2240,75248,zip,TX,TX,Dallas,"Dallas-Fort Worth-Arlington, TX",Dallas County,,,,,,,,,,,,,,,,,,,,,,,1344.383031,1331.724798,1326.878299,1318.652104,1320.410445,1315.33125,1327.216333,1335.601886,1341.782177,1339.660346,1334.644933,1331.705553,1329.22495,1337.044496,1345.804023,1346.522506,1360.797541,1376.89351,1370.426309,1359.596239,1335.292905,1343.149176,1338.960367,1364.155645,1365.141657,1375.284409,1349.755574,1361.515868,1372.993154,1395.664549,1401.852051,1412.121422,1422.709276,1433.024191,1419.046367,1410.426787,1401.12654,1415.683884,1435.26526,1434.070788,1436.837233,1439.294839,1440.182712,1424.99389,1409.923094,1418.657543,1432.479864,1453.858607,1450.531757,1455.223813,1445.748513,1468.837299,1500.526507,1537.878123,1587.311653,1611.348858,1650.73478,1657.516758,1704.548287,1730.187797,1754.327832,1732.77661,1747.195387,1779.447879,1834.255084,1855.615147,1873.143404,1898.04204,1903.987761,1885.142277,1841.507386,1819.305556
