,zip,effective_rent
244,33166,2740.5
245,33167,1492.5
246,33169,1884.2
247,33172,2349.0
248,33173,2003.2
249,33174,2526.0
250,33175,1973.5
251,33176,1880.0
252,33177,2110.0
253,33178,2867.4375
254,33179,2065.5714285714284
255,33180,3152.5
256,33181,2265.5714285714284
257,33186,2264.6
258,33190,1358.0
259,33193,1525.25
260,33196,2284.1111111111113
261,33301,3186.05
262,33304,2887.1111111111113
263,33305,2622.0
264,33308,2428.4
265,33309,1820.5
266,33311,1756.25
267,33312,2462.714285714286
268,33313,1860.1538461538462
269,33314,2502.5714285714284
270,33315,2467.0
271,33316,2746.6666666666665
272,33317,2235.0
273,33319,1683.625
274,33321,2032.857142857143
275,33322,2317.75
276,33323,2524.6
277,33324,2343.6190476190477
278,33325,2551.0
279,33326,2848.0
280,33328,2542.0
281,33331,2792.0
282,33334,2106.0
283,33351,2192.818181818182
284,33401,2493.529411764706
285,33403,2673.0
286,33404,1566.5
287,33405,3174.0
288,33406,1858.75
289,33407,1734.1666666666667
290,33408,2890.6666666666665
291,33409,1983.3
292,33410,2357.25
293,33411,2191.714285714286
294,33412,2350.0
295,33413,1897.5
296,33414,2658.5714285714284
297,33415,1550.5714285714287
298,33417,1857.5714285714287
299,33418,2896.4285714285716
300,33426,2322.076923076923
301,33428,2786.5714285714284
302,33431,2450.75
303,33432,2768.6153846153848
304,33433,2475.25
305,33434,3789.0
306,33435,2442.4285714285716
307,33436,2067.3333333333335
308,33437,2263.8
309,33441,1699.875
310,33442,2141.8571428571427
311,33444,2148.6
312,33445,2849.5
313,33446,2627.75
314,33458,2578.1428571428573
315,33460,1967.5
316,33461,1891.0
317,33462,2463.5
318,33463,2249.3333333333335
319,33467,2458.5
320,33480,17343.0
321,33483,2810.8333333333335
322,33484,2560.8333333333335
323,33486,2492.0
324,33487,2986.285714285714
325,33496,2836.0
326,33510,1572.6
327,33511,1744.5652173913043
328,33547,1938.0
329,33548,2229.0
330,33556,1961.25
331,33558,1963.0
332,33563,1541.8
333,33566,1632.0
334,33569,1812.0
335,33570,1069.0
336,33572,2010.0
337,33573,1924.5
338,33578,1859.6842105263158
339,33584,1486.0
340,33594,1643.6666666666667
341,33596,1535.0
342,33602,2745.1428571428573
343,33603,1406.0
344,33604,1579.4285714285713
345,33605,2021.6666666666667
346,33606,2602.4285714285716
347,33607,2218.923076923077
348,33609,1602.25
349,33610,1664.0
350,33611,1881.7692307692307
351,33612,1358.8823529411766
352,33613,1416.0
353,33614,1516.36
354,33615,1632.0588235294117
355,33616,1725.1538461538462
356,33617,1439.8333333333333
357,33618,1552.125
358,33619,1958.6923076923076
359,33624,1756.6666666666667
