,ZIP,STCOFIPS,RISK_SCORE,CFLD_RISKS,HRCN_RISKS
0,36003,1001,5.958751680664723,,3.816714210875352
1,36006,1001,5.958751680664723,,3.816714210875352
2,36067,1001,5.958751680664723,,3.816714210875352
3,36066,1001,5.958751680664723,,3.816714210875352
4,36703,1001,5.958751680664723,,3.816714210875352
5,36701,1001,5.958751680664723,,3.816714210875352
6,36091,1001,5.958751680664723,,3.816714210875352
7,36051,1001,5.958751680664723,,3.816714210875352
8,36068,1001,5.958751680664723,,3.816714210875352
9,36008,1001,5.958751680664723,,3.816714210875352
10,36022,1001,5.958751680664723,,3.816714210875352
11,36749,1001,5.958751680664723,,3.816714210875352
12,36758,1001,5.958751680664723,,3.816714210875352
13,36550,1003,15.558142440256027,15.2720608266223,28.525556010313274
14,36551,1003,15.558142440256027,15.2720608266223,28.525556010313274
15,36527,1003,15.558142440256027,15.2720608266223,28.525556010313274
16,36577,1003,15.558142440256027,15.2720608266223,28.525556010313274
17,36559,1003,15.558142440256027,15.2720608266223,28.525556010313274
18,36536,1003,15.558142440256027,15.2720608266223,28.525556010313274
19,36576,1003,15.558142440256027,15.2720608266223,28.525556010313274
20,36579,1003,15.558142440256027,15.2720608266223,28.525556010313274
21,36502,1003,15.558142440256027,15.2720608266223,28.525556010313274
22,36578,1003,15.558142440256027,15.2720608266223,28.525556010313274
23,36533,1003,15.558142440256027,15.2720608266223,28.525556010313274
24,36564,1003,15.558142440256027,15.2720608266223,28.525556010313274
25,36561,1003,15.558142440256027,15.2720608266223,28.525556010313274
26,36580,1003,15.558142440256027,15.2720608266223,28.525556010313274
27,36535,1003,15.558142440256027,15.2720608266223,28.525556010313274
28,36547,1003,15.558142440256027,15.2720608266223,28.525556010313274
29,36549,1003,15.558142440256027,15.2720608266223,28.525556010313274
30,36530,1003,15.558142440256027,15.2720608266223,28.525556010313274
31,36562,1003,15.558142440256027,15.2720608266223,28.525556010313274
32,36532,1003,15.558142440256027,15.2720608266223,28.525556010313274
33,36526,1003,15.558142440256027,15.2720608266223,28.525556010313274
